"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"😀","U+1F600","grinning face","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😃","U+1F603","grinning face with big eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😄","U+1F604","grinning face with smiling eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😁","U+1F601","beaming face with smiling eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😆","U+1F606","grinning squinting face","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😅","U+1F605","grinning face with sweat","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😂","U+1F602","face with tears of joy","SmileysNPeople","FacePositive","fully-qualified","Yes"
"🤣","U+1F923","rolling on the floor laughing","SmileysNPeople","FacePositive","fully-qualified","Yes"
"☺","U+263A","smiling face","SmileysNPeople","FacePositive","non-fully-qualified","Yes"
"😊","U+1F60A","smiling face with smiling eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😇","U+1F607","smiling face with halo","SmileysNPeople","FaceRole","fully-qualified","Yes"
"🙂","U+1F642","slightly smiling face","SmileysNPeople","FacePositive","fully-qualified","Yes"
"🙃","U+1F643","upside-down face","SmileysNPeople","FaceNeutral","fully-qualified","Yes"
"😉","U+1F609","winking face","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😌","U+1F60C","relieved face","SmileysNPeople","FaceNeutral","fully-qualified","Yes"
"😍","U+1F60D","smiling face with heart-eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😘","U+1F618","face blowing a kiss","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😗","U+1F617","kissing face","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😙","U+1F619","kissing face with smiling eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😚","U+1F61A","kissing face with closed eyes","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😋","U+1F60B","face savoring food","SmileysNPeople","FacePositive","fully-qualified","Yes"
"😛","U+1F61B","face with tongue","SmileysNPeople","FaceNeutral","fully-qualified","Yes"
